DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
05/03/2015,4.807170928,5.404597985,5.350427133,5.330633811,5.204913448,4.854705808,4.858199971,4.855684285,5.252468836,5.050567361,4.854812393,4.63154299,4.398405293,4.632312262,4.618832986,4.477742174,4.395965128
05/04/2015,6.142839658,6.585036885,6.484013593,6.418697708,6.277541184,5.713054938,5.482700772,5.481361919,6.152365726,5.887781959,5.355772344,4.938789888,4.580491492,4.999499964,4.910193755,5.124184866,4.419644934
05/05/2015,3.707593599,4.217801666,4.217989946,4.269634251,4.213005298,4.323223454,4.260109865,4.256079857,4.312585578,4.155310063,4.286571538,4.286448829,4.137922113,4.204740388,4.127578318,3.986355069,4.182060709
05/06/2015,3.489754273,3.910508613,3.879952369,3.951214778,3.908286721,4.053908549,3.975576696,3.970654276,4.051499127,3.903169725,4.027781708,4.002154169,3.894234641,3.950555538,3.920480311,3.798691785,3.892379697
05/07/2015,3.953959981,4.471954132,4.445559442,4.514493364,4.412598472,4.483697295,4.460928559,4.457518316,4.428845743,4.309199218,4.579832945,4.538272603,4.399642035,4.486476118,4.441670826,4.152324599,4.467491871
05/08/2015,4.529073553,4.929617232,4.8788898,4.907757432,4.833960176,4.716897411,4.623820113,4.620030875,4.858984171,4.70283415,4.641595808,4.463022002,4.274847386,4.458270731,4.448498602,4.415317386,4.332898197
05/09/2015,5.088421595,5.395217163,5.351405608,5.321321774,5.318565269,5.135275067,4.905858554,4.902251514,5.247003195,5.055221289,4.82862266,4.57677835,4.367774415,4.637308413,4.612338035,4.822088235,4.313730592
05/10/2015,6.345481301,6.657888814,6.52467142,6.460503981,6.339796524,5.918204254,5.516058506,5.513822774,6.230604805,5.914724991,5.405486926,4.974941092,4.653442103,5.126505384,5.032050227,5.367896153,4.584133002
05/11/2015,4.404464743,4.7395384,4.726146685,4.709251005,4.649528165,4.470159566,4.407611646,4.40260273,4.585467517,4.506269275,4.392929352,4.265589226,4.10348181,4.246009318,4.225257506,4.170232588,4.116225475
05/12/2015,3.544938801,4.074184772,4.064131534,4.128561389,4.053006368,4.226736906,4.088724542,4.083493492,3.999390976,3.860784281,4.150041914,4.156517125,4.038084452,4.053633942,3.985160379,3.892956123,3.93892379
05/13/2015,2.754520648,3.314181757,3.303140455,3.440618887,3.271120846,3.52877687,3.26614341,3.26048458,3.172076723,3.109516485,3.422787044,3.640458253,3.533796865,3.517869266,3.435459092,3.09666324,3.720542792
05/14/2015,3.28435111,3.875500462,3.870332691,3.952250972,3.879379926,4.022291248,4.003245528,3.997972801,4.02283594,3.883795822,4.112774438,4.14721423,4.028547894,4.084172041,4.038928346,3.710246523,4.130073817
05/15/2015,4.088660805,4.632778779,4.674015516,4.718629763,4.656332658,4.647853169,4.633636517,4.629227253,4.814495102,4.621441265,4.650721858,4.493370955,4.304008094,4.44225555,4.391055097,4.297526065,4.153931864
05/16/2015,3.504894777,3.778214292,3.823972425,3.836931735,3.796305166,3.820603052,3.748509374,3.742018116,3.707760339,3.651712928,3.817552645,3.803502333,3.679694884,3.761780894,3.731414462,3.539292193,3.749401353
05/17/2015,3.371124241,3.895691292,3.882090442,3.956474959,3.860530481,3.958062909,3.923657048,3.918146327,3.961621713,3.869995526,4.030636516,4.172475352,4.096366639,4.086962634,4.038006568,3.65097375,4.214316589
05/18/2015,3.958829436,4.761355998,4.749504855,4.858390078,4.764177901,4.838678915,4.910776904,4.907157369,5.085757763,4.842808786,4.978550562,4.799600128,4.560026182,4.769304675,4.722977238,4.449971944,4.565552662
05/19/2015,5.28347554,6.000596919,5.997563982,5.995828396,5.836166642,5.394295232,5.379359652,5.376617201,5.746480158,5.577994148,5.37945948,5.114827294,4.797753846,5.068141991,4.990675397,4.870052112,4.64614064
05/20/2015,4.233432437,4.698614061,4.746948711,4.715070102,4.621517151,4.498128423,4.545139772,4.540607091,4.452115443,4.36516882,4.66219127,4.599020746,4.378598209,4.526398973,4.458656474,4.047215332,4.43706487
05/21/2015,4.69231974,5.067449038,5.085534676,4.997984607,4.971238517,4.70938925,4.690813885,4.685336453,4.953682078,4.833920054,4.633356249,4.44710196,4.254873569,4.427827998,4.404849224,4.366428347,4.158398261
05/22/2015,4.740706981,4.899659535,5.001442565,4.844083879,4.830114855,4.424960311,4.329841135,4.323717011,4.444307286,4.501279714,4.240196975,4.105349932,3.930174938,4.102531739,4.105450963,4.02640549,3.920988808
05/23/2015,4.085308803,4.348232013,4.402177285,4.358026659,4.258933087,4.0873671,3.980867886,3.974755406,3.904011429,3.962883733,4.053562237,3.976246644,3.794520941,3.956796534,3.918990158,3.686142082,3.920654334
05/24/2015,3.949785253,4.242534115,4.256428187,4.309239476,4.223136372,4.245223845,4.219087644,4.212765167,4.171592874,4.153489191,4.275853374,4.330933336,4.244814366,4.259390829,4.211085454,3.936394455,4.317532029
05/25/2015,4.764004446,5.143410017,5.163617909,5.093652318,5.048254164,4.80495474,4.816490825,4.811378368,4.982159782,4.892448066,4.799704208,4.61448594,4.411327531,4.601465688,4.580453597,4.465930652,4.454066694
05/26/2015,4.55435984,4.821865032,4.828961553,4.792821568,4.757642055,4.613106866,4.602414911,4.596326282,4.751277536,4.656337398,4.597482349,4.462079361,4.313676779,4.446926736,4.433502546,4.337893332,4.36048528
05/27/2015,4.994378219,5.514576961,5.528367289,5.479469631,5.408154964,5.116905955,5.121225619,5.116915586,5.32596618,5.218679825,5.062943921,4.915087554,4.679522862,4.870043225,4.817368157,4.69287595,4.711063211
05/28/2015,6.014876635,6.739154645,6.568626013,6.518660288,6.36395581,5.748729429,5.683564205,5.680535619,6.536063794,6.150693171,5.55213281,5.016815867,4.627930029,5.168006985,5.063814167,5.121451263,4.558991813
05/29/2015,5.782221829,6.058768371,5.937516661,5.829140614,5.744144038,5.348296403,5.282221649,5.277591434,5.787309415,5.59597559,5.109794174,4.772280455,4.437949462,4.947115946,4.866047031,4.86235452,4.473163719
